Business Name,Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Restitution,Business Building,Business Street,Building Address Unit,Business City,Business State,Business Zip,Complainant Zip 
GC SERVICES LIMITED PARTNERSHIP,Debt Collection Agency - 122,Harassment - H01,03/17/2015,04/23/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,70,MANSELL CT,250,ROSWELL,GA,30076,10025
SL TAX CENTER,Tax Preparers - 891,Surcharge/Overcharge - S02,04/17/2015,06/15/2015,Advised to Sue - ATS,No,0.00,318A,UTICA AVE,,BROOKLYN,NY,11213,11216
MP 98-41 LLC,Garage - 049,Damaged Goods - D01,01/02/2015,02/19/2015,Goods Repaired - GRS,Yes,1800.00,545,5TH AVE,6,NEW YORK,NY,10017,11374
Met Fresh Supermarket,Supermarket - 819,Advertising/General - A01,02/11/2016,02/25/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,9606,3RD AVE,,BROOKLYN,NY,11209,11209
G&G GENERAL CONTRACTING INC,Home Improvement Contractor - 100,Misrepresentation - M01,01/04/2016,02/19/2016,Referred to Hearing - RTH,No,0.00,88,LINCOLN AVE,,ARDSLEY,NY,10502,11201
NATIONAL WHOLESALE LIQUIDATORS INC,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,02/26/2016,03/16/2016,Goods Exchanged - GEX,Yes,80.00,3500,48TH ST,,LONG ISLAND CITY,NY,11101,11385
ARISING TRAVEL INC.,Travel Agency - 440,Misrepresentation - M01,12/23/2015,01/04/2016,Cash Amount - AMT,Yes,200.00,115,BOWERY,201,NEW YORK,NY,10002,10010
NCP RESTORATIONS LTD.,Home Improvement Contractor - 100,Quality of Work - Q01,09/22/2015,09/28/2015,Referred to Hearing - RTH,No,0.00,64,WATER LN N,,LEVITTOWN,NY,11756,10026
QUIK PARK CHARLES STREET LLC,Garage - 049,Misrepresentation - M01,02/27/2015,05/20/2015,Cash Amount - AMT,Yes,375.00,247,W 37TH ST,FL 6,NEW YORK,NY,10018,06902
VICTORY AUTO GROUP LLC,Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,12/29/2014,01/26/2015,Advised to Sue - ATS,No,0.00,4070,BOSTON RD,,BRONX,NY,10475,11208
"SEND A PACKAGE, INC.",Mailorder Misc - 319,Non-Delivery of Goods - N01,11/24/2014,01/12/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,40,WALL ST,28,NEW YORK,NY,10005,12953
LUCKY CLEANERS 5512 INC,Dry Cleaners - 230,Gender Pricing,02/26/2016,04/01/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,5512,4TH AVE,,BROOKLYN,NY,11220,11220
,Garage - 049,Damaged Goods - D01,01/20/2016,03/07/2016,Referred to Hearing - RTH,No,0.00,,,,,,,10509
COHEN'S FASHION OPTICAL,Misc Non-Food Retail - 817,Advertising/General - A01,03/03/2015,04/13/2015,Store Credit - SCR,Yes,200.00,200,BAYCHESTER AVE,111,BRONX,NY,10475,10475
SLEEPY'S  LLC,Furniture Sales - 242,Misrepresentation - M01,03/23/2016,04/01/2016,Consumer Took Action - CTA,No,0.00,1000,S OYSTER BAY RD,,HICKSVILLE,NY,11801,10455
EVE BEAUTY SOURCE,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,10/06/2015,10/19/2015,Advised to Sue - ATS,No,0.00,13614,ROOSEVELT AVE,,FLUSHING,NY,11354,11355
URBAN TERRAIN,Wearing Apparel - 450,Exchange Goods/Contract Cancelled - E01,01/20/2015,04/03/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,13692,ROOSEVELT AVE,,FLUSHING,NY,11354,11354
T-MOBILE NORTHEAST LLC,Electronic Store - 001,Misrepresentation - M01,04/09/2015,06/03/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,2711,CENTERVILLE RD,,WILMINGTON,DE,19808,11365
"BEST HOME DECORATORS, INC.",Furniture Sales - 242,Damaged Goods - D01,08/21/2015,10/01/2015,No Business Response - NVR,No,0.00,140,58TH ST,BLDGB,BROOKLYN,NY,11220,11236
AUTOQUEST AUTOMOTIVE INC.,Tow Truck Company - 124,Billing Dispute - B02,10/31/2014,01/02/2015,Cash Amount - AMT,Yes,175.00,1174,COMMERCE AVE,,BRONX,NY,10462,10469
ELECTRONIC LIQUIDATION CENTER,Electronic Store - 001,Damaged Goods - D01,06/05/2015,07/09/2015,Goods Exchanged - GEX,Yes,38.00,5302,5TH AVE,,BROOKLYN,NY,11220,11213
ADVANCED CONSTRUCTION CONCEPTS INC.,Home Improvement Contractor - 100,Quality of Work - Q01,03/03/2015,05/06/2015,No Business Response - NVR,No,0.00,620,CONEY ISLAND AVE,,BROOKLYN,NY,11218,11372
PERMA CLEAN CORP.,Dry Cleaners - 230,Damaged Goods - D01,03/04/2016,03/17/2016,Cash Amount - AMT,Yes,25.00,15703,72ND AVE,,FLUSHING,NY,11367,11367
QUIK PARK WEST 55TH ST. LLC,Garage - 049,Closed without Notice,08/10/2015,09/25/2015,Store Credit - SCR,Yes,51.00,247,W 37TH ST,FL 6,NEW YORK,NY,10018,10019
"CARNEGIE DIGITAL COMPUTERS, LLC",Electronic Store - 001,Misrepresentation - M01,07/17/2015,07/17/2015,Credit Card Refund and/or Contract Cancelled - CRC,Yes,512.00,1386,AVENUE OF THE AMERICAS,,NEW YORK,NY,10019,
OAKNYC.COM,Retail Store - 820,,02/20/2015,04/03/2015,Credit Card Refund and/or Contract Cancelled - CRC,Yes,200.00,55,NASSAU AVE,,BROOKLYN,NY,11222,07748
POWERHOUSE GYM INTERNATIONAL,Health Spa - 839,Non-Delivery of Service - N02,01/29/2016,03/03/2016,No Consumer Response - NCR,NA,0.00,355,S OLD WOODWARD AVE,150,BIRMINGHAM,MI,48009,
"GOLDEN SAW CONSTRUCTION, CORP.",Home Improvement Contractor - 100,Quality of Work - Q01,03/21/2016,03/28/2016,Advised to Sue - ATS,No,0.00,157,AVENUE O,,BROOKLYN,NY,11204,11236
FAIRBANKS CONTRACTING AND DEVELOPMENT INC.,Home Improvement Contractor - 100,Misrepresentation - M01,01/07/2016,01/22/2016,Advised to Sue - ATS,No,0.00,1828,HYLAN BLVD,,STATEN ISLAND,NY,10305,11214
IMPRESSIVE TOWING INC.,Tow Truck Company - 124,Surcharge/Overcharge - S02,04/02/2015,04/20/2015,Cash Amount - AMT,Yes,190.00,5953,56TH DR,,MASPETH,NY,11378,51503
A.P. MARBLE & GRANITE INC,Home Improvement Contractor - 100,,06/12/2015,08/04/2015,Advised to Sue - ATS,No,0.00,824,62ND ST,,BROOKLYN,NY,11220,11220
SKAGGS WALSH,Fuel Oil Dealer - 814,Surcharge/Overcharge - S02,12/22/2014,01/12/2015,Advised to Sue - ATS,No,0.00,11902,23RD AVE,,COLLEGE POINT,NY,11356,11379
"BOB'S DISCOUNT FURNITURE, LLC",Furniture Sales - 242,Defective Goods - D02,02/03/2016,02/25/2016,Goods Exchanged - GEX,Yes,543.00,428,TOLLAND TPKE,,MANCHESTER,CT,06042,11229
MULTANI CONSTRUCTION USA CORP.,Home Improvement Contractor - 100,Damaged Goods - D01,03/13/2015,04/30/2015,Goods Repaired - GRS,Yes,4000.00,13513,129TH ST,FL 1,S OZONE PARK,NY,11420,11226
BARGAIN LAND,Misc Non-Food Retail - 817,Damaged Goods - D01,06/17/2015,06/23/2015,Cash Amount - AMT,Yes,20.00,2828,CHURCH AVE,,BROOKLYN,NY,11226,11226
WELCOME SUCCESS LLC,Employment Agency - 034,Misrepresentation - M01,04/05/2016,04/22/2016,Cash Amount - AMT,Yes,100.00,1305,E 17TH ST,,BROOKLYN,NY,11230,11416
PV PARKING IV CORP,Garage - 049,Misrepresentation - M01,02/18/2015,04/07/2015,Cash Amount - AMT,Yes,300.00,1138,128TH ST,,COLLEGE POINT,NY,11356,10032
"DIAZ, CARLOS",Home Improvement Contractor - 100,Quality of Work - Q01,08/19/2015,10/09/2015,Cash Amount - AMT,Yes,500.00,9731,134TH RD,,OZONE PARK,NY,11417,11691
,Auto Dealership - 212,Misrepresentation - M01,02/27/2015,04/30/2015,Cash Amount - AMT,Yes,430.00,,,,,,,11367
,Electronic Store - 001,,10/09/2015,12/08/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,,,,,,,10467
"SALERNO, TAMARA",Home Improvement Contractor - 100,Quality of Work - Q01,02/02/2015,02/25/2015,Referred to Hearing - RTH,No,0.00,282,KATONAH AVE,,KATONAH,NY,10536,10013
360 RESTORATION INC.,Home Improvement Contractor - 100,Breach of Contract - B03,03/18/2015,05/04/2015,Referred to Hearing - RTH,No,0.00,4732,32ND PL,STE 2053,LONG ISLAND CIT,NY,11101,10032
GRACIOUS HOME INC.,Misc Non-Food Retail - 817,Defective Goods - D02,12/16/2015,12/28/2015,Goods Exchanged - GEX,Yes,659.00,1201,3RD AVE,,NEW YORK,NY,10021,10022
C & H IRONWORKS LLC.,Home Improvement Contractor - 100,Breach of Contract - B03,08/14/2015,09/22/2015,No Business Response - NVR,No,0.00,204,MONROE ST,,BROOKLYN,NY,11216,11216
"CREDENCE RESOURCE MANAGEMENT, LLC",Debt Collection Agency - 122,Billing Dispute - B02,01/05/2015,01/22/2015,Bill Reduced - BLR,Yes,2482.00,70,MANSELL CT,250,ROSWELL,GA,30076,11224
AUTOMOTION UNLIMITED INC.,Secondhand Dealer Auto - 005,Damaged Goods - D01,03/15/2016,04/04/2016,Advised to Sue - ATS,No,0.00,9704,ATLANTIC AVE,,OZONE PARK,NY,11416,53150
"AUTOMOTION COLLISION, INC.",Tow Truck Company - 124,Surcharge/Overcharge - S02,06/12/2015,06/19/2015,Complaint Invalid - CIN,NA,0.00,1558,STILLWELL AVE,,BRONX,NY,10461,10977
"ACIERNO, MICHELE",Home Improvement Contractor - 100,Non-Delivery of Service - N02,01/04/2016,02/18/2016,Cash Amount - AMT,Yes,18000.00,68,CONSELYEA ST,,BROOKLYN,NY,11211,11232
MIAMI JEWELERS LLC,Jewelry Store-Retail - 823,Damaged Goods - D01,02/11/2015,05/01/2015,Goods Repaired - GRS,Yes,5.00,5430,MYRTLE AVE,,RIDGEWOOD,NY,11385,11207
"NEW CINGULAR WIRELESS PCS, LLC",Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,06/05/2015,07/20/2015,Advised to Sue - ATS,No,0.00,1010,N SAINT MARYS ST,9,SAN ANTONIO,TX,78215,10033
MOBILIA FURNITURE INC.,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,04/24/2015,06/16/2015,Advised to Sue - ATS,No,0.00,3144,ATLANTIC AVE,,BROOKLYN,NY,11208,30350
"EASTERN ACCOUNT SYSTEM OF CONNECTICUT, INC.",Internet Complaints - 443,,07/08/2015,07/22/2015,Bill Reduced - BLR,Yes,0.00,PO BOX,837,,NEWTOWN,CT,06470,
"JOS. A. BANK CLOTHIERS, INC.",Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,07/16/2015,09/29/2015,No Consumer Response - NCR,NA,0.00,500,HANOVER PIKE,,HAMPSTEAD,MD,21074,10023
,Furniture Sales - 242,Damaged Goods - D01,04/28/2015,06/16/2015,Consumer Took Action - CTA,No,0.00,,,,,,,10467
Greenhouse Holistic,Health Spa - 839,Advertising/Misleading - A02,01/21/2016,01/29/2016,Referred to Outside - RTO,NA,0.00,218,N 7TH ST,,BROOKLYN,NY,11211,11211
IB CONSTRUCTION CORP,Home Improvement Contractor - 100,Quality of Work - Q01,08/26/2015,09/29/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,1708,W 10TH ST,2,BROOKLYN,NY,11223,11236
KMART CORPORATION,Misc Non-Food Retail - 817,Damaged Goods - D01,09/08/2015,09/28/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,3333,BEVERLY RD,B22-113A,HOFFMAN ESTATES,IL,60179,11223
TONY'S UPHOLSTERY & PLASTIC SLIP COVERS,Misc Non-Food Retail - 817,Breach of Contract - B03,03/02/2015,04/17/2015,Advised to Sue - ATS,No,0.00,194,MALCOLM X BLVD,,NEW YORK,NY,10026,11221
,Secondhand Dealer Auto - 005,Non-Delivery of Goods - N01,12/31/2014,02/11/2015,Referred to Hearing - RTH,No,0.00,,,,,,,11412
59 ALLEN STREET GARAGE CORP.,Garage - 049,Non-Delivery Goods/Services,12/24/2015,12/30/2015,Credit Card Refund and/or Contract Cancelled - CRC,Yes,25.00,59,ALLEN ST,,NEW YORK,NY,10002,07024
NU CHOICE,Mailorder Misc - 319,Refund Policy - R01,03/04/2015,04/22/2015,Cash Amount - AMT,Yes,16.00,24922,147TH AVE,,ROSEDALE,NY,11422,12582
"WALGREEN EASTERN CO., INC.",Other,Non-Delivery of Goods - N01,07/08/2015,08/12/2015,Cash Amount - AMT,Yes,62.00,300,WILMOT RD,MS 3301,DEERFIELD,IL,60015,11372
ENTERPRISE RENT A CAR,Auto Rental - 213,Non-Delivery of Goods - N01,01/28/2015,04/15/2015,Advised to Sue - ATS,No,0.00,600,CORPORATE PARK DR,,SAINT LOUIS,MO,63105,10027
NOBLE FURNITURE STORE,Furniture Sales - 242,Damaged Goods - D01,08/25/2015,10/08/2015,Cash Amount - AMT,Yes,250.00,1931,RICHMOND AVE,,STATEN ISLAND,NY,10314,10314
"PROFESSIONAL RECOVERY ASSOCIATES, INC.",Debt Collection Agency - 122,Billing Dispute - B02,11/04/2015,11/10/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,64,DIVISION AVE,,LEVITTOWN,NY,11756,10475
BELNORD HOTEL,Hotel/Motel - 460,Surcharge/Overcharge - S02,03/02/2016,03/17/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,209,W 87TH ST,,NEW YORK,NY,10024,75011
FURNITURE AND ELECTRONICS DEPOT NY INC,Electronic Store - 001,Advertising/Misleading - A02,07/21/2015,10/01/2015,Advised to Sue - ATS,No,0.00,2962,3RD AVE,,BRONX,NY,10455,10451
,Electronic & Home Appliance Service Dealer - 115,Quality of Work - Q01,12/22/2015,01/06/2016,Cash Amount - AMT,Yes,100.00,,,,,,,11379
"FREZZA, ANTONIO",Home Improvement Contractor - 100,Non-Delivery of Service - N02,03/16/2015,04/01/2015,Cash Amount - AMT,Yes,950.00,PO BOX,822,,SLEEPY HOLLOW,NY,10591,10461
EURO CRAFT DESIGN & CONSTRUCTION LLC,Home Improvement Contractor - 100,Quality of Work - Q01,09/24/2015,11/18/2015,Referred to Hearing - RTH,No,0.00,3072,37TH ST,APT 3F,ASTORIA,NY,11103,10065
SL LOUNGE,Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,12/31/2015,01/12/2016,Cash Amount - AMT,Yes,80.00,4015,WARREN ST,,ELMHURST,NY,11373,11418
LENSCRAFTERS,Misc Non-Food Retail - 817,Misrepresentation - M01,07/16/2015,08/06/2015,Cash Amount - AMT,Yes,415.00,5100,KINGS PLZ,,BROOKLYN,NY,11234,11210
REKKY CORPORATION,Home Improvement Contractor - 100,,06/16/2015,08/20/2015,Referred to Hearing - RTH,No,0.00,18311,HILLSIDE AVE,,JAMAICA,NY,11432,10021
MACY'S INCOPORATED,Furniture Sales - 242,Breach of Warranty - B04,12/31/2015,02/18/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,151,W 34TH ST,,NEW YORK,NY,10001,11105
RAINBOW FURNITURE,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,02/25/2016,03/17/2016,Advised to Sue - ATS,No,0.00,1164,LIBERTY AVE,,BROOKLYN,NY,11208,11208
"KARIM, ABU TAREK M",Home Improvement Contractor - 100,Misrepresentation - M01,01/22/2016,03/15/2016,Referred to Hearing - RTH,No,0.00,146,FORBELL ST,,BROOKLYN,NY,11208,11413
"ARTISTS, BUILDERS, CONSULTANTS, DESIGNERS, LLC",Home Improvement Contractor - 100,,03/23/2015,06/12/2015,Referred to Hearing - RTH,No,0.00,295,CENTRAL PARK W,11C,NEW YORK,NY,10024,11205
DREAM WORLD FURNITURE CORP.,Furniture Sales - 242,Damaged Goods - D01,01/14/2015,02/06/2015,Goods Repaired - GRS,Yes,0.00,720,E TREMONT AVE,,BRONX,NY,10457,10462
THREEWAY PLUMBING SUPPLIES,Misc Non-Food Retail - 817,,10/20/2015,11/05/2015,Cash Amount - AMT,Yes,629.00,6316,WOODHAVEN BLVD,,REGO PARK,NY,11374,11375
RICHMOND HILL WIRELESS INC,Electronic Store - 001,Surcharge/Overcharge - S02,04/03/2015,06/05/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,11918,JAMAICA AVE,,RICHMOND HILL,NY,11418,11418
4 KINGS CONSTRUCTION INC.,Home Improvement Contractor - 100,,07/07/2015,08/12/2015,Referred to Hearing - RTH,No,0.00,11224,198TH ST,,SAINT ALBANS,NY,11412,11208
STANLEY STEEMER,Misc Non-Food Retail - 817,Lost Property - L02,08/13/2015,10/02/2015,Bill Reduced - BLR,Yes,200.00,439,20TH ST,,BROOKLYN,NY,11215,11218
"Lin, Hang zhu",Dry Cleaners - 230,Damaged Goods - D01,03/25/2016,04/25/2016,Advised to Sue - ATS,No,0.00,8115,BROADWAY,,ELMHURST,NY,11373,11363
ENTOURAGE FURNITURE,Furniture Sales - 242,Misrepresentation - M01,12/11/2015,12/30/2015,Advised to Sue - ATS,No,0.00,490,W 207TH ST,,NEW YORK,NY,10034,10031
WEST PLAZA GARAGE LLC,Garage - 049,Surcharge/Overcharge - S02,09/03/2015,10/30/2015,Complaint Invalid - CIN,NA,0.00,205,E 38TH ST,,NEW YORK,NY,10016,10016
,Dealer In Products For The Disabled - 119,Non-Delivery of Goods - N01,08/20/2015,08/25/2015,Consumer Took Action - CTA,No,0.00,,,,,,,10459
HIGH-LINE ELECTRONICS INC.,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,11/18/2014,01/08/2015,Goods Exchanged - GEX,Yes,202.00,8012,ROOSEVELT AVE,,JACKSON HTS,NY,11372,11373
Colleen Lonergan LLC,Other,Quality of Work - Q01,02/17/2016,04/04/2016,Advised to Sue - ATS,No,0.00,191,TROUTMAN ST,2R,BROOKLYN,NY,11206,10011
VICTORY AUTO GROUP LLC,Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,11/06/2015,12/07/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,4101,BOSTON RD,,BRONX,NY,10466,11210
SPRINT SPECTRUM L.P.,Electronic Store - 001,Advertising/Misleading - A02,02/16/2016,03/04/2016,Bill Reduced - BLR,Yes,741.00,6500,SPRINT PKWY,,OVERLAND,KS,66251,11226
NY FURNITURE WHOLESALE,Furniture Sales - 242,Advertising/Misleading - A02,07/23/2015,07/23/2015,Out of Business - OOB,NA,0.00,998,SOUTHERN BLVD,,BRONX,NY,10459,10465
89 MONTCLAIR CLEANERS INC.,Dry Cleaners - 230,Damaged Goods - D01,03/31/2015,04/20/2015,No Satisfactory Agreement - NSA,No,0.00,1349,LEXINGTON AVE,,NEW YORK,NY,10128,10029
GOGO FURNITURE CORPORATION,Furniture Sales - 242,Non-Delivery of Goods - N01,12/02/2014,01/02/2015,Credit Card Refund and/or Contract Cancelled - CRC,Yes,499.00,15,BOND ST,,BROOKLYN,NY,11201,11225
"MCS CLAIM SERVICES, INC.",Debt Collection Agency - 122,Billing Dispute - B02,02/27/2015,03/23/2015,Bill Reduced - BLR,Yes,76.00,123,FROST ST,202,WESTBURY,NY,11590,10301
"MALAFRONTE, MICHAEL A",Home Improvement Contractor - 100,Breach of Warranty - B04,04/28/2015,07/15/2015,Advised to Sue - ATS,No,0.00,2507,AMBOY RD,,STATEN ISLAND,NY,10306,11228
GROUPON,Misc Non-Food Retail - 817,Refund Policy - R01,11/06/2015,11/23/2015,Store Credit - SCR,Yes,32.00,600,W CHICAGO AVE,400,CHICAGO,IL,60654,10128
"AALBA AUTO SALVAGE, INC.",Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,07/31/2015,09/10/2015,No Satisfactory Preempted - NSP,NA,0.00,151,WOODWARD AVE,,RIDGEWOOD,NY,11385,11221
"CARMIC CONSTRUCTION, INC.",Home Improvement Contractor - 100,Quality of Work - Q01,05/27/2015,07/27/2015,Goods Repaired - GRS,Yes,1000.00,8920,78TH ST,,WOODHAVEN,NY,11421,11375
GILSTON ELECTRICAL MAINTENANCE CORP.,Misc Non-Food Retail - 817,Non-Delivery of Service - N02,01/25/2016,03/11/2016,Advised to Sue - ATS,No,0.00,44,ARGOW PL,,NANUET,NY,10954,11204
COHEN'S OPTICAL CO. INC.,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,02/03/2016,03/15/2016,Bill Reduced - BLR,Yes,445.00,3733,82ND ST,,JACKSON HTS,NY,11372,11205
"TIKVATRONICS, LTD.",Electronic Store - 001,Surcharge/Overcharge - S02,03/02/2015,04/06/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,16404,JAMAICA AVE,,JAMAICA,NY,11432,11433
QUICK 2 TOWING & RECOVERY INC.,Tow Truck Company - 124,Surcharge/Overcharge - S02,03/01/2016,03/17/2016,Cash Amount - AMT,Yes,136.00,2716,203RD ST,,BAYSIDE,NY,11360,11361
"MILLENNIUM MOTORS SPORTS, LLC",Secondhand Dealer Auto - 005,Advertising/General - A01,08/20/2015,10/26/2015,Consumer Took Action - CTA,No,0.00,20201,NORTHERN BLVD,,BAYSIDE,NY,11361,10469
FORSTER & GARBUS LLP,Debt Collection Agency - 122,Billing Dispute - B02,11/05/2015,12/22/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,60,VANDERBILT MOTOR PKWY,,COMMACK,NY,11725,10033
"HOMESERVE USA ENERGY SERVICES, LLC",Electronic & Home Appliance Service Dealer - 115,Non-Delivery of Service - N02,09/14/2015,10/01/2015,Goods Repaired - GRS,Yes,3000.00,500,BI COUNTY BLVD,STE 121,FARMINGDALE,NY,11735,11357
THE PLAZA,Hotel/Motel - 460,Breach of Contract - B03,04/02/2015,04/27/2015,No Satisfactory Agreement - NSA,No,0.00,768,5TH AVE,,NEW YORK,NY,10019,11103
809 COLLISION INC,Tow Truck Company - 124,Misrepresentation - M01,11/24/2015,12/22/2015,Cash Amount - AMT,Yes,136.00,600,E 156TH ST,,BRONX,NY,10455,10473
"TOP CONCOURSE ELECTRONICS, INC.",Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,02/24/2015,03/19/2015,No Satisfactory Agreement - NSA,No,0.00,2486,GRAND CONCOURSE,,BRONX,NY,10458,10451
AUSTIN OPTICS LLC,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,08/12/2015,09/16/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,7220,AUSTIN ST,,FOREST HILLS,NY,11375,11373
GOLDEN TOUCH BRONX CORP.,Jewelry Store-Retail - 823,Misrepresentation - M01,05/12/2015,05/21/2015,Consumer Took Action - CTA,No,0.00,5,W FORDHAM RD,,BRONX,NY,10468,10462
PALMBAY MECHANICAL INC.,Home Improvement Contractor - 100,Non-Delivery of Goods - N01,06/25/2015,08/25/2015,Advised to Sue - ATS,No,0.00,14702,SUTTER AVE,,JAMAICA,NY,11436,11230
AMERICAL COLLISION INC.,Tow Truck Company - 124,Surcharge/Overcharge - S02,03/25/2015,05/18/2015,Referred to Hearing - RTH,No,0.00,247,27TH ST,,BROOKLYN,NY,11232,11220
"NBE SERVICES & ASSOCIATES, INC.",Employment Agency - 034,Refund Policy - R01,02/09/2015,04/20/2015,Cash Amount - AMT,Yes,100.00,479B,72ND ST,,BROOKLYN,NY,11209,11209
99 CENTS & UP,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,04/16/2015,05/21/2015,Goods Exchanged - GEX,Yes,0.00,8412,20TH AVE,,BROOKLYN,NY,11214,11230
DIOR SOHO WOMEN,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,02/05/2016,02/22/2016,Credit Card Refund and/or Contract Cancelled - CRC,Yes,36960.00,106,GREENE ST,,NEW YORK,NY,10012,11355
CAPITAL COOPERATIVE CORPORATION,Home Improvement Contractor - 100,,05/20/2015,06/22/2015,Referred to Hearing - RTH,No,0.00,PO BOX,4,,LIVINGSTN MNR,NY,12758,11101
A3 COMM INC.,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,01/14/2016,02/16/2016,Advised to Sue - ATS,No,0.00,12120,LIBERTY AVE,,S RICHMOND HL,NY,11419,11416
"B&Z AUTO ENTERPRISES, L.L.C.",Secondhand Dealer Auto - 005,Misrepresentation - M01,12/03/2014,01/22/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,,,,,,,06830
"DREAM KITCHENS & BATHS, INC.",Home Improvement Contractor - 100,Quality of Work - Q01,12/29/2015,01/13/2016,Cash Amount - AMT,Yes,1000.00,711,PORT RICHMOND AVE,,STATEN ISLAND,NY,10302,10314
EMERGENCY RIGHTS,Tax Preparers - 891,Non-Delivery of Service - N02,06/18/2015,07/24/2015,Advised to Sue - ATS,No,0.00,337,E 138TH ST,1,BRONX,NY,10454,10454
"CONVERGENT OUTSOURCING, INC.",Debt Collection Agency - 122,Billing Dispute - B02,05/12/2015,05/28/2015,Bill Reduced - BLR,Yes,480.00,PO BOX,9004,,RENTON,WA,98057,10075
THE TOP FLOOR OF NEW  YORK INC,Floor Coverings - 241,Misrepresentation - M01,02/23/2015,04/09/2015,No Business Response - NVR,No,0.00,5910,18TH AVE,,BROOKLYN,NY,11204,11219
BROADWAY GIFTS & ART INC.,Electronic Store - 001,Non-Delivery of Goods - N01,12/14/2015,02/04/2016,Advised to Sue - ATS,No,0.00,1668,BROADWAY,,NEW YORK,NY,10019,
HOTEL BELLECLAIRE,Hotel/Motel - 460,Surcharge/Overcharge - S02,08/20/2015,09/28/2015,No Satisfactory Agreement - NSA,No,0.00,250,W 77TH ST,,NEW YORK,NY,10024,92404
"CITY WORLD MOTORS, L.L.C.",Secondhand Dealer Auto - 005,Defective Goods - D02,05/07/2015,07/02/2015,Advised to Sue - ATS,No,0.00,3333,BOSTON RD,,BRONX,NY,10469,10704
"RESCUE ONE SECURITY AND INVESTIGATION SERVICES, INC.",Employment Agency - 034,Misrepresentation - M01,11/24/2015,11/25/2015,Referred to Hearing - RTH,No,0.00,1091,JACKSON AVE,,LONG ISLAND CIT,NY,11101,11421
"STAPLES THE OFFICE SUPERSTORE EAST, INC.",Misc Non-Food Retail - 817,Advertising/General - A01,01/29/2016,02/03/2016,Store Credit - SCR,Yes,18.00,500,STAPLES DR,,FRAMINGHAM,MA,01702,11365
COLLECTION TECHNOLOGY INCORPORATED,Debt Collection Agency - 122,Misrepresentation - M01,02/12/2016,03/07/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,PO BOX,2017,,MONTEREY PARK,CA,91754,11206
GRISTEDES,Grocery-Retail - 808,,10/20/2015,11/19/2015,Cash Amount - AMT,Yes,11.00,823,11TH AVE,,NEW YORK,NY,10019,10016
GLOBAL CREDIT & COLLECTION CORPORATION,Debt Collection Agency - 122,Billing Dispute - B02,12/02/2015,12/21/2015,Bill Reduced - BLR,Yes,3557.00,5440,N CUMBERLAND AVE,300,CHICAGO,IL,60656,10453
"ALLIANCEONE RECEIVABLES MANAGEMENT, INC.",Debt Collection Agency - 122,Billing Dispute - B02,04/06/2015,05/06/2015,Resolved and Consumer Satisfied - SPF,Yes,208.00,3000,AMES CROSSING RD,STE 750,SAINT PAUL,MN,55121,11368
"I. C. SYSTEM, INC.",Debt Collection Agency - 122,Billing Dispute - B02,08/26/2015,09/17/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,444,HIGHWAY 96 E,,SAINT PAUL,MN,55127,11694
